endTime,artistName,trackName,msPlayed,genre
2024-09-05 15:56,Taylor Swift,The Archer,211240,country
2024-09-05 15:56,Taylor Swift,Style,10967,country
2024-09-05 15:56,SZA,Kill Bill,1720,rnb
2024-09-05 16:00,Taylor Swift,cardigan,239560,country
2024-09-05 16:03,Taylor Swift,illicit affairs,190898,country
2024-09-05 16:07,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),247160,pop
2024-09-05 16:09,Ariana Grande,intro (end of the world),92400,pop
2024-09-05 16:13,Keane,Somewhere Only We Know,236160,britpop
2024-09-05 16:14,Selena Gomez,Fetish (feat. Gucci Mane),72371,pop
2024-09-05 16:19,Lana Del Rey,Art Deco,295066,female vocalists
2024-09-05 16:22,Olivia Rodrigo,happier,175933,pop
2024-09-05 16:26,Taylor Swift,You Belong With Me,231133,country
2024-09-05 16:30,Lana Del Rey,Pretty When You Cry,234146,female vocalists
2024-09-05 16:30,Melanie Martinez,Teacher's Pet,14760,pop
2024-09-05 16:30,Ruth B.,Lost Boy,1120,pop
2024-09-05 16:33,SZA,Saturn,187549,rnb
2024-09-05 16:36,Justin Bieber,Ghost,153190,pop
2024-09-05 16:37,Doechii,What It Is (Solo Version),109071,rap
2024-09-05 16:45,Lana Del Rey,Chemtrails Over The Country Club,271176,female vocalists
2024-09-05 16:49,Lana Del Rey,Say Yes To Heaven,209156,female vocalists
2024-09-05 16:51,Taylor Swift,Midnight Rain,174782,country
2024-09-05 16:55,Billie Eilish,BIRDS OF A FEATHER,210373,pop
2024-09-05 17:01,Lana Del Rey,Brooklyn Baby,351640,female vocalists
2024-09-05 17:05,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,pop
2024-09-05 17:14,Laufey,Promise,234266,jazz
2024-09-05 17:17,Taylor Swift,We Are Never Ever Getting Back Together,1220,country
2024-09-05 17:17,d4vd,Here With Me,133744,rnb
2024-09-05 17:17,Taylor Swift,Bejeweled,1190,country
2024-09-05 17:17,Laufey,Let You Break My Heart Again,1330,jazz
2024-09-05 17:20,SZA,Snooze,201800,rnb
2024-09-05 17:25,Taylor Swift,Daylight,293453,country
2024-09-05 19:21,The 1975,About You,326490,indie
2024-09-05 19:22,Taylor Swift,I Knew You Were Trouble (Taylor's Version),3595,country
2024-09-05 19:25,Taylor Swift,Gorgeous,209680,country
2024-09-05 19:26,Melanie Martinez,Play Date,50870,pop
2024-09-05 19:30,Lana Del Rey,Ultraviolence,251480,female vocalists
2024-09-05 19:34,HYBS,Tip Toe,224725,synthpop
2024-09-05 19:40,Taylor Swift,Enchanted,352186,country
2024-09-05 19:44,Lana Del Rey,West Coast,256760,female vocalists
2024-09-05 19:48,Ariana Grande,we can't be friends (wait for your love),228639,pop
2024-09-05 19:51,beabadoobee,the perfect pair,177533,bedroom pop
2024-09-05 19:55,Taylor Swift,Lover,221306,country
2024-09-05 19:58,Lana Del Rey,Young And Beautiful,236053,female vocalists
2024-09-05 20:02,Taylor Swift,Love Story,235266,country
2024-09-05 20:06,Taylor Swift,The Way I Loved You (Taylor’s Version),243136,country
2024-09-05 20:10,beabadoobee,A Night To Remember,233388,bedroom pop
2024-09-05 20:14,Taylor Swift,Blank Space,231826,country
2024-09-05 20:17,Taylor Swift,London Boy,190240,country
2024-09-05 20:21,Lana Del Rey,Radio,214573,female vocalists
2024-09-05 20:23,Lana Del Rey,Sad Girl,1120,female vocalists
2024-09-05 20:23,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),91412,country
2024-09-05 20:26,Ruth B.,Dandelions,233720,pop
2024-09-05 20:31,Doja Cat,Agora Hills,265360,pop
2024-09-05 20:37,Lana Del Rey,Diet Mountain Dew,222920,female vocalists
2024-09-05 20:40,Taylor Swift,Cruel Summer,178426,country
2024-09-05 20:43,beabadoobee,the way things go,187800,bedroom pop
2024-09-05 20:47,Taylor Swift,Don’t Blame Me,236413,country
2024-09-05 20:50,The Walters,I Love You So,160239,indie rock
2024-09-05 20:52,Laufey,Valentine,168906,jazz
2024-09-05 20:52,Sasha Alex Sloan,Dancing With Your Ghost,3323,indie pop
2024-09-05 20:57,Adele,Skyfall,286480,dangdut
2024-09-05 21:01,Tinashe,2 On (feat. ScHoolboy Q),227000,alternative r&b
2024-09-05 21:07,Lana Del Rey,Dark Paradise,243187,female vocalists
2024-09-05 21:11,Taylor Swift,Karma,204852,country
2024-09-05 23:36,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",67450,rnb
2024-09-06 07:46,Lady Gaga,Die With A Smile,248533,art pop
2024-09-06 18:31,Billie Eilish,WILDFLOWER,152,pop
2024-09-06 18:31,Lady Gaga,Die With A Smile,251667,art pop
2024-09-06 18:50,Doja Cat,Agora Hills,265360,pop
2024-09-06 18:53,Taylor Swift,Gorgeous,209680,country
2024-09-06 18:54,Selena Gomez,Fetish (feat. Gucci Mane),27460,pop
2024-09-06 18:58,Taylor Swift,cardigan,239560,country
2024-09-06 19:01,Taylor Swift,All Of The Girls You Loved Before,221407,country
2024-09-06 19:16,Taylor Swift,illicit affairs,190898,country
2024-09-06 19:19,Taylor Swift,Midnight Rain,174782,country
2024-09-06 19:22,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,pop
2024-09-06 19:23,Taylor Swift,All Too Well (Taylor's Version),8431,country
2024-09-06 19:27,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,rnb
2024-09-06 19:29,Taylor Swift,Anti-Hero,118805,country
2024-09-06 19:32,Taylor Swift,Lover,221306,country
2024-09-06 19:37,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),273186,country
2024-09-06 19:51,Lana Del Rey,Chemtrails Over The Country Club,235676,female vocalists
2024-09-06 19:51,Lana Del Rey,Million Dollar Man,9000,female vocalists
2024-09-06 19:53,beabadoobee,Glue Song,135066,bedroom pop
2024-09-06 19:58,Lana Del Rey,Dark Paradise,243187,female vocalists
2024-09-06 20:00,beabadoobee,the perfect pair,177533,bedroom pop
2024-09-06 20:03,Melanie Martinez,Play Date,179867,pop
2024-09-06 20:06,Laufey,Falling Behind,173640,jazz
2024-09-06 20:10,Melanie Martinez,Teacher's Pet,241893,pop
2024-09-06 20:15,Billie Eilish,WILDFLOWER,261466,pop
2024-09-06 20:16,Ariana Grande,intro (end of the world),92400,pop
2024-09-06 20:19,Laufey,From The Start,169573,jazz
2024-09-06 21:30,Taylor Swift,my tears ricochet,191232,country
2024-09-06 21:32,Taylor Swift,my tears ricochet,64663,country
2024-09-06 21:35,Taylor Swift,Don’t Blame Me,236413,country
2024-09-06 21:41,7!!,オレンジ,350106,gangster rap
2024-09-06 21:53,Taylor Swift,Blank Space,41347,country
2024-09-06 21:53,Lana Del Rey,Brooklyn Baby,351640,female vocalists
2024-09-06 22:00,Olivia Rodrigo,"jealousy, jealousy",461,pop
2024-09-06 22:00,beabadoobee,A Night To Remember,233388,bedroom pop
2024-09-06 22:00,SZA,Snooze,4590,rnb
2024-09-06 22:05,Taylor Swift,Karma,47827,country
2024-09-06 22:05,Taylor Swift,Labyrinth,247962,country
2024-09-06 22:09,Taylor Swift,Wildest Dreams,220440,country
2024-09-06 22:13,Lady Gaga,Die With A Smile,251667,art pop
2024-09-06 22:16,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",180381,country
